number;kind_of_literature;author;text;title_of_excerpt;start_of_excerpt;end_of_excerpt;year;chrestomathy;form;level_of_education;place_of_edition;notes;biblio_id
8612;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1879;Невзоров Образцовые 1Ку;1-4 кл.;СУЗ;Казань;;Невзоров Образцовые 1Ку__1879
8613;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1880;Смирновский Хрест 1 ч;1-2 кл.;СУЗ, городские училища;СПб;;Смирновский Хрест 1 ч__1880
8614;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
8615;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1887;Савенко;Приготовительные классы;СУЗ;Москва;;Савенко__1887
8616;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
8617;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
8618;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
8619;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
8620;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1891;Баталин Изборник;;СУЗ;Москва;;Баталин Изборник__1891
8621;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1897;Дмитриев Для Наизусть;;Гимназии, реальные училища;Казань;;Дмитриев Для Наизусть__1897
8622;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
8623;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
8624;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
8625;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
8626;поэзия;Пушкин А.С.;Кавказский пленник;Черкесская песня;;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
8627;поэзия;Пушкин А.С.;Кавказский пленник;Черкесы;;;1879;Невзоров Образцовые 1Ку;1-4 кл.;СУЗ;Казань;;Невзоров Образцовые 1Ку__1879
8628;поэзия;Пушкин А.С.;Кавказский пленник;Черкесы;;;1880;Федоров;Средние классы гимназии;Прибалтийские немецкие гимназии;Ревель;;Федоров__1880
8629;поэзия;Пушкин А.С.;Кавказский пленник;Черкесы;;;1903;Покровский;3-4 кл.;СУЗ;Москва;;Покровский__1903
8630;поэзия;Пушкин А.С.;Казак;;;;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
8631;поэзия;Пушкин А.С.;Как брань тебе не надоела;Расчет;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
8632;проза;Пушкин А.С.;Капитанская дочка;нет границ между оригинальным текстом и пересказом;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
8633;проза;Пушкин А.С.;Капитанская дочка;1 глава (пересказ);;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
8634;проза;Пушкин А.С.;Капитанская дочка;из главы 2-ой (1ый отрывок);Я приближался к месту;отправился к месту моего назначения;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
8635;проза;Пушкин А.С.;Капитанская дочка;глава 3 крепость;Белгородская крепость;провел целый вечер;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
8636;проза;Пушкин А.С.;Капитанская дочка;глава 4;Вы изволите говорить?;каялись перед людьми;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
8637;проза;Пушкин А.С.;Капитанская дочка;глава 5 -6-7-8-9-10-11-12-13-14 полный и частиынй пересказ;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
8638;проза;Пушкин А.С.;Капитанская дочка;глава 4-6, 8-10, 12-13 короткий пересказ;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
8639;проза;Пушкин А.С.;Капитанская дочка;;;;1868;Водовозов (Образцы разборов);;;СПб;анализ текста;Водовозов (Образцы разборов)__1868
8640;проза;Пушкин А.С.;Капитанская дочка;Буран;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
8641;проза;Пушкин А.С.;Капитанская дочка;Белгородская крепость;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
8642;проза;Пушкин А.С.;Капитанская дочка;Василиса Егоровна;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
8643;проза;Пушкин А.С.;Капитанская дочка;Моя квартира;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
8644;проза;Пушкин А.С.;Капитанская дочка;Комендант;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
8645;проза;Пушкин А.С.;Капитанская дочка;Встреча с Екатериной II;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
8646;проза;Пушкин А.С.;Капитанская дочка;Решение;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
